date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:25:11	6215/6215	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Jan%202023%2012:57:49%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-ivy-league-moocs-social.jpg?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=0d3af0d0d31cdbdc684a726b330a759f	C:/Hindi_Website/hindi_website/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-ivy-league-moocs-social5b92.jpg	(from https://www.classcentral.com/)
14:25:11	50744/50744	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Feb%202023%2009:12:43%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-ivy-league-moocs-social.jpg?auto=format&h=420&ixlib=php-3.3.1&s=c49b305f32e1e971696b9852e3971c6b	C:/Hindi_Website/hindi_website/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-ivy-league-moocs-social1fe9.jpg	(from https://www.classcentral.com/)
14:25:12	5751/5751	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Feb%202023%2023:43:35%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-coursera-free-courses.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=dbef6e5a11e80f652ab6a5ce5eb593b8	C:/Hindi_Website/hindi_website/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-coursera-free-coursesd038.png	(from https://www.classcentral.com/)
14:25:12	96645/96645	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Feb%202023%2020:49:36%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-coursera-free-courses.png?auto=format&h=420&ixlib=php-3.3.1&s=9044610de77ddba19697f770dd2531c7	C:/Hindi_Website/hindi_website/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-coursera-free-courses08e8.png	(from https://www.classcentral.com/)
14:25:13	6083/6083	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202023%2010:02:35%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-free-certificates.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=f880669c2a69683d851d6be4ee71652e	C:/Hindi_Website/hindi_website/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-free-certificates7462.png	(from https://www.classcentral.com/)
14:25:13	416880/416880	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2014:20:32%20GMT	https://www.classcentral.com/report/free-certificates/	C:/Hindi_Website/hindi_website/www.classcentral.com/report/free-certificates/index.html	(from https://www.classcentral.com/)
14:25:13	518630/518630	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2014:20:40%20GMT	https://www.classcentral.com/report/coursera-free-online-courses/	C:/Hindi_Website/hindi_website/www.classcentral.com/report/coursera-free-online-courses/index.html	(from https://www.classcentral.com/)
14:25:13	93874/93874	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202023%2009:12:56%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-free-certificates.png?auto=format&h=420&ixlib=php-3.3.1&s=bc50a602c38dbf30802649312c6a4474	C:/Hindi_Website/hindi_website/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-free-certificatesbc95.png	(from https://www.classcentral.com/)
14:25:14	6773/6773	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202023%2009:28:32%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-google-certs.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=0d0859ee6dce9cd586fcc06d2e5d34ec	C:/Hindi_Website/hindi_website/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-google-certsa0be.png	(from https://www.classcentral.com/)
14:25:14	29596/29596	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202023%2009:14:40%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-google-certs.png?auto=format&h=420&ixlib=php-3.3.1&s=ac4c48d612e7961d7335e87451e52ac4	C:/Hindi_Website/hindi_website/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-google-certsc6f1.png	(from https://www.classcentral.com/)
14:25:14	193990/193990	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2014:20:55%20GMT	https://www.classcentral.com/report/free-google-certifications/	C:/Hindi_Website/hindi_website/www.classcentral.com/report/free-google-certifications/index.html	(from https://www.classcentral.com/)
